<DATE>,<CLOSE>
2010.11.17,18.53
2010.11.18,18.77
2010.11.19,18.81
2010.11.22,18.53
2010.11.23,17.77
2010.11.24,18.02
2010.11.25,18.12
2010.11.26,18.12
2010.11.29,18.26
2010.11.30,18.12
2010.12.01,18.6
2010.12.02,18.44
2010.12.03,17.95
2010.12.06,17.59
2010.12.07,17.55
2010.12.08,17.3
2010.12.09,17.07
2010.12.10,16.99
2010.12.13,17.17
2010.12.14,17.16
2010.12.15,17.1
2010.12.16,16.93
2010.12.17,16.86
2010.12.20,16.55
2010.12.21,16.82
2010.12.22,17.01
2010.12.23,17.22
2010.12.27,17.12
2010.12.28,17.09
2010.12.29,17.2
2010.12.30,17.44
2011.01.03,17.42
2011.01.04,17.5
2011.01.05,17.75
2011.01.06,17.59
2011.01.07,17.17
2011.01.10,17.2
2011.01.11,17.41
2011.01.12,17.71
2011.01.13,17.54
2011.01.14,17.63
2011.01.17,17.42
2011.01.18,17.51
2011.01.19,17.26
2011.01.20,17.14
2011.01.21,17.06
2011.01.24,17.22
2011.01.26,17.2
2011.01.27,17.2
2011.01.28,16.85
2011.01.31,16.51
2011.02.01,16.59
2011.02.02,16.41
2011.02.03,16.24
2011.02.04,15.59
2011.02.07,15.69
2011.02.08,15.98
2011.02.09,15.58
2011.02.10,15.67
2011.02.11,16.41
2011.02.14,16.52
2011.02.15,16.87
2011.02.16,17.44
2011.02.17,17.33
2011.02.18,17.28
2011.02.21,17.01
2011.02.22,16.46
2011.02.23,16.49
2011.02.24,16.44
2011.02.25,16.36
2011.02.28,16.69
2011.03.01,16.24
2011.03.02,16.37
2011.03.03,16.57
2011.03.04,16.62
2011.03.09,16.18
2011.03.10,15.71
2011.03.11,15.81
2011.03.14,15.99
2011.03.15,16.17
2011.03.16,15.79
2011.03.17,15.76
2011.03.18,15.99
2011.03.21,16.01
2011.03.22,16.27
2011.03.23,16.33
2011.03.24,16.24
2011.03.25,16.16
2011.03.28,16.06
2011.03.29,15.97
2011.03.30,16.32
2011.03.31,16.73
2011.04.01,16.97
2011.04.04,16.92
2011.04.05,16.83
2011.04.06,16.87
2011.04.07,16.84
2011.04.08,16.64
2011.04.11,16.41
2011.04.12,16.06
2011.04.13,16.12
2011.04.14,16.01
2011.04.15,15.77
2011.04.18,15.76
2011.04.19,15.93
2011.04.20,16.43
2011.04.25,16.41
2011.04.26,16.64
2011.04.27,16.64
2011.04.28,16.24
2011.04.29,16.41
2011.05.02,16.35
2011.05.03,15.9
2011.05.04,15.59
2011.05.05,15.64
2011.05.06,16.05
2011.05.09,16.12
2011.05.10,16.5
2011.05.11,16.44
2011.05.12,16.58
2011.05.13,16.09
2011.05.16,15.79
2011.05.17,15.85
2011.05.18,15.44
2011.05.19,15.42
2011.05.20,15.37
2011.05.23,15.45
2011.05.24,15.67
2011.05.25,15.52
2011.05.26,16.0
2011.05.27,16.16
2011.05.30,16.11
2011.05.31,15.97
2011.06.01,15.72
2011.06.02,15.6
2011.06.03,15.6
2011.06.06,15.56
2011.06.07,15.83
2011.06.08,15.8
2011.06.09,15.68
2011.06.10,15.43
2011.06.13,15.58
2011.06.14,15.74
2011.06.15,15.71
2011.06.16,15.4
2011.06.17,15.4
2011.06.20,15.52
2011.06.21,15.4
2011.06.22,15.67
2011.06.24,15.49
2011.06.27,15.42
2011.06.28,15.76
2011.06.29,15.99
2011.06.30,16.1
2011.07.01,16.17
2011.07.04,16.34
2011.07.05,16.26
2011.07.06,16.13
2011.07.07,15.69
2011.07.08,15.26
2011.07.11,14.83
2011.07.12,14.86
2011.07.13,15.21
2011.07.14,14.94
2011.07.15,14.81
2011.07.18,14.42
2011.07.19,14.75
2011.07.20,15.05
2011.07.21,15.42
2011.07.22,15.56
2011.07.25,15.22
2011.07.26,14.91
2011.07.27,14.57
2011.07.28,14.8
2011.07.29,15.11
2011.08.01,15.19
2011.08.02,14.69
2011.08.03,14.52
2011.08.04,13.8
2011.08.05,13.79
2011.08.08,13.01
2011.08.09,13.94
